,precision,recall,f1-score,support
008.Rhinoceros_Auklet,0.1,0.1111111111111111,0.10526315789473684,9.0
024.Red_faced_Cormorant,0.1,0.1,0.1,10.0
028.Brown_Creeper,0.0,0.0,0.0,11.0
033.Yellow_billed_Cuckoo,0.0,0.0,0.0,11.0
035.Purple_Finch,0.15384615384615385,0.16666666666666666,0.16,12.0
046.Gadwall,0.0,0.0,0.0,12.0
054.Blue_Grosbeak,0.0,0.0,0.0,12.0
063.Ivory_Gull,0.3076923076923077,0.3333333333333333,0.32,12.0
068.Ruby_throated_Hummingbird,0.0,0.0,0.0,12.0
173.Orange_crowned_Warbler,0.18181818181818182,0.16666666666666666,0.17391304347826086,12.0
accuracy,0.08849557522123894,0.08849557522123894,0.08849557522123894,0.08849557522123894
macro avg,0.08433566433566435,0.08777777777777777,0.08591762013729977,113.0
weighted avg,0.08513521876353734,0.08849557522123894,0.08667544197160852,113.0
